group,order,x,y,NAME,CityType,Pop2010,Land_sqmi,oz_name
1,138,-117.7863979,33.86239052,Anaheim,City,336265,49.84000015,ANAHEIM
1,139,-117.7840366,33.86269569,Anaheim,City,336265,49.84000015,ANAHEIM
1,140,-117.7811356,33.8633976,Anaheim,City,336265,49.84000015,ANAHEIM
1,141,-117.7787857,33.86433601,Anaheim,City,336265,49.84000015,ANAHEIM
1,142,-117.7775211,33.86517525,Anaheim,City,336265,49.84000015,ANAHEIM
1,143,-117.7772503,33.86543083,Anaheim,City,336265,49.84000015,ANAHEIM
1,144,-117.7724113,33.87059593,Anaheim,City,336265,49.84000015,ANAHEIM
1,145,-117.7711086,33.87164116,Anaheim,City,336265,49.84000015,ANAHEIM
1,146,-117.7705326,33.87201118,Anaheim,City,336265,49.84000015,ANAHEIM
1,147,-117.7689629,33.87286568,Anaheim,City,336265,49.84000015,ANAHEIM
1,148,-117.7685089,33.8730526,Anaheim,City,336265,49.84000015,ANAHEIM
1,149,-117.7682076,33.87317467,Anaheim,City,336265,49.84000015,ANAHEIM
1,150,-117.7652302,33.8739109,Anaheim,City,336265,49.84000015,ANAHEIM
1,151,-117.7591896,33.87458992,Anaheim,City,336265,49.84000015,ANAHEIM
1,152,-117.7486286,33.87759209,Anaheim,City,336265,49.84000015,ANAHEIM
1,153,-117.7458801,33.87901878,Anaheim,City,336265,49.84000015,ANAHEIM
1,154,-117.7458744,33.87773705,Anaheim,City,336265,49.84000015,ANAHEIM
1,155,-117.7483845,33.87658119,Anaheim,City,336265,49.84000015,ANAHEIM
1,156,-117.7491817,33.87451363,Anaheim,City,336265,49.84000015,ANAHEIM
1,157,-117.7477303,33.87401009,Anaheim,City,336265,49.84000015,ANAHEIM
1,158,-117.7466393,33.87323189,Anaheim,City,336265,49.84000015,ANAHEIM
1,159,-117.7446098,33.87048149,Anaheim,City,336265,49.84000015,ANAHEIM
1,160,-117.7409496,33.87112236,Anaheim,City,336265,49.84000015,ANAHEIM
1,161,-117.7382298,33.87111092,Anaheim,City,336265,49.84000015,ANAHEIM
1,162,-117.7360096,33.87085152,Anaheim,City,336265,49.84000015,ANAHEIM
1,163,-117.7345791,33.87054253,Anaheim,City,336265,49.84000015,ANAHEIM
1,164,-117.727766,33.86817741,Anaheim,City,336265,49.84000015,ANAHEIM
1,165,-117.7267475,33.86829186,Anaheim,City,336265,49.84000015,ANAHEIM
1,166,-117.7250862,33.86758614,Anaheim,City,336265,49.84000015,ANAHEIM
1,167,-117.7233238,33.86732292,Anaheim,City,336265,49.84000015,ANAHEIM
1,168,-117.7231712,33.86705971,Anaheim,City,336265,49.84000015,ANAHEIM
1,169,-117.715519,33.86585045,Anaheim,City,336265,49.84000015,ANAHEIM
1,170,-117.7106819,33.86461067,Anaheim,City,336265,49.84000015,ANAHEIM
1,171,-117.7095242,33.8647747,Anaheim,City,336265,49.84000015,ANAHEIM
1,172,-117.7094212,33.86458015,Anaheim,City,336265,49.84000015,ANAHEIM
1,173,-117.7092133,33.86466026,Anaheim,City,336265,49.84000015,ANAHEIM
1,174,-117.7094231,33.86517143,Anaheim,City,336265,49.84000015,ANAHEIM
1,175,-117.7092457,33.86548042,Anaheim,City,336265,49.84000015,ANAHEIM
1,176,-117.7092457,33.86673546,Anaheim,City,336265,49.84000015,ANAHEIM
1,177,-117.7078266,33.86765862,Anaheim,City,336265,49.84000015,ANAHEIM
1,178,-117.7043552,33.86881065,Anaheim,City,336265,49.84000015,ANAHEIM
1,179,-117.7041492,33.86916924,Anaheim,City,336265,49.84000015,ANAHEIM
1,180,-117.7031841,33.86968422,Anaheim,City,336265,49.84000015,ANAHEIM
1,181,-117.7004433,33.87085915,Anaheim,City,336265,49.84000015,ANAHEIM
1,182,-117.6996975,33.8717289,Anaheim,City,336265,49.84000015,ANAHEIM
